iter	RMSE
0	1.584266805
1	1.555144798
2	1.522739454
3	1.494551874
4	1.462934734
5	1.430614913
6	1.404706017
7	1.374170782
8	1.340339846
9	1.315110781
10	1.288393438
11	1.268158466
12	1.243027334
13	1.222682026
14	1.201123186
15	1.178996739
16	1.162292048
17	1.146366813
18	1.129167139
19	1.108754238
20	1.092552197
21	1.077483348
22	1.060898623
23	1.045340358
24	1.02791479
25	1.013007792
26	0.9953216276
27	0.9784488392
28	0.9609560356
29	0.9469706123
30	0.9333019615
31	0.9187756657
32	0.9067602527
33	0.8940839598
34	0.8808491479
35	0.8681931214
36	0.8559798263
37	0.841987704
38	0.8271805692
39	0.8163689407
40	0.8055159847
41	0.7959766232
42	0.7849547824
43	0.7749882775
44	0.7637748077
45	0.7530742532
46	0.742723546
47	0.7347806968
48	0.7256057839
49	0.7206537353
