iter	Passed	Remaining
0	93	4573
1	184	4436
2	272	4264
3	360	4143
4	448	4032
5	463	3397
6	548	3366
7	632	3319
8	642	2926
9	727	2910
10	813	2885
11	897	2843
12	981	2794
13	1065	2739
14	1149	2681
15	1233	2621
16	1319	2560
17	1403	2494
18	1486	2426
19	1569	2354
20	1653	2283
21	1742	2217
22	1835	2154
23	1919	2079
24	1931	1931
25	2015	1860
26	2100	1789
27	2143	1684
28	2231	1615
29	2316	1544
30	2400	1471
31	2487	1399
32	2572	1325
33	2659	1251
34	2743	1175
35	2826	1099
36	2912	1023
37	2995	946
38	3081	869
39	3166	791
40	3251	713
41	3342	636
42	3350	545
43	3433	468
44	3448	383
45	3531	307
46	3615	230
47	3698	154
48	3781	77
49	3864	0
